brand, product_price, product_name, shipping_price
GIGABYTE,863.05,GIGABYTE AORUS GeForce RTX 3060 ELITE 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060AORUS E-12GD Video Card,49.99
yeston,299,Yeston GeForce GTX 1050 TI 4GB GDDR5 Graphics cards Nvidia pci express x16 3.0 Desktop computer PC video gaming graphics card,0
Corn Electronics,84.49,CORN NVIDIA GeForce GTX 650 1GB 128-Bit DDR5 Graphic Card random color Video Card GPU GTX650-DCO-1GD5 DirectX 11 PCI Express 3.0 HDCP DVI/VGA/HDMI,0
NVIDIA,390,NVIDIA GeForce GTX 580 Graphic Card - 772 MHz Core - 1.50 GB GDDR5 - PCI Express 2.0 x16 - Dual Slot Space Required,0
AMD,499,Barco MXRT-5550 2GB PCIe Graphics card,0
AMD,69.99,MQX GeForce GT730 2GB DDR3 DVI VGA PCI Express 2.0 x16 Graphics Card+Low profile Bracket,0
Sapphire Tech,1869,Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP,0
MSI,459.99,MSI Mech Radeon RX 6600 8GB PCI Express 4.0 Video Card RX 6600 MECH 2X 8G,9.99
GIGABYTE,1757.89,GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (rev. 2.0) Graphics Card| Max Covered Cooling| 10GB 320-bit GDDR6X| GV-N3080AORUS M-10GD Rev2.0 Video Card,49.99
MSI,29.99,95MM PLD10010S12HH 4Pin Cooler Fan Replacement For MSI Radeon R9 380 Armor 2X GTX 1060 970 RX580 Graphics Video Card Cooling,0
ASUS,854.9,ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card| OC Edition TUF-RTX3060-O12G-V2-GAMING LHR,49.99
